base_transition_cost,beta_cap,cop_cost_audit,attack_succeeded,final_ai_generation,civilization_survived,civilization_collapsed,civilization_extinct
1.0,5.0,True,False,2,True,False,False
1.0,2.0,True,False,2,True,False,False
1.0,4.0,True,False,2,True,False,False
1.0,3.0,True,False,2,True,False,False
1.0,1.0,True,False,2,True,False,False
1.75,2.0,True,False,2,True,False,False
1.75,1.0,True,False,2,True,False,False
1.75,3.0,True,False,2,True,False,False
1.75,1.0,False,True,1,True,False,False
1.0,2.0,False,True,1,True,False,False
1.0,1.0,False,True,1,True,False,False
1.0,5.0,False,True,1,True,False,False
1.0,3.0,False,True,1,True,False,False
1.0,4.0,False,True,1,True,False,False
1.75,4.0,True,False,2,True,False,False
2.5,1.0,True,False,2,True,False,False
2.5,2.0,True,False,2,True,False,False
1.75,2.0,False,True,1,True,False,False
1.75,3.0,False,True,1,True,False,False
2.5,3.0,True,False,2,True,False,False
1.75,4.0,False,True,1,True,False,False
1.75,5.0,False,True,1,True,False,False
2.5,2.0,False,True,1,True,False,False
2.5,1.0,False,True,1,True,False,False
1.75,5.0,True,True,1,True,False,False
2.5,3.0,False,True,1,True,False,False
3.25,1.0,True,False,2,True,False,False
3.25,2.0,True,False,2,True,False,False
2.5,4.0,False,True,1,True,False,False
2.5,4.0,True,True,1,True,False,False
2.5,5.0,False,True,1,True,False,False
2.5,5.0,True,True,1,True,False,False
3.25,1.0,False,True,1,True,False,False
4.0,1.0,True,False,2,True,False,False
3.25,2.0,False,True,1,True,False,False
3.25,3.0,False,True,1,True,False,False
3.25,4.0,False,True,1,True,False,False
3.25,3.0,True,True,1,True,False,False
4.0,2.0,True,False,2,True,False,False
3.25,4.0,True,True,1,True,False,False
3.25,5.0,False,True,1,True,False,False
3.25,5.0,True,True,1,True,False,False
4.0,2.0,False,True,1,True,False,False
4.0,1.0,False,True,1,True,False,False
4.0,3.0,False,True,1,True,False,False
4.0,3.0,True,True,1,True,False,False
4.0,4.0,False,True,1,True,False,False
4.0,5.0,False,True,1,True,False,False
4.0,4.0,True,True,1,True,False,False
4.0,5.0,True,True,1,True,False,False
